gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447986.04718,-0.327006862195022,-0.171266210586112,-9.85935166261792,0.00112190912477672,-0.00047051758156158,0.00107168161775917,-0.00789479073137045,-0.0162651091814041,-0.67772513628006,0.735093057155609
1429447986.06218,-0.275423444750998,-0.128696193746291,-9.7087308930397,-0.00227779150009155,0.00180812471080571,0.00286473380401731,-0.00788387935608625,-0.0162313561886549,-0.677712619304657,0.735105454921722
1429447986.07718,-0.208945898101106,-0.0906852010508534,-9.60867594309449,-0.00217469735071063,-0.00199419935233891,0.000830692297313362,-0.00789508782327175,-0.0162181667983532,-0.677704095840454,0.735113441944122
1429447986.09218,-0.330899193458445,-0.137368973352434,-9.95630046324134,-0.000309096387354657,-0.0029915701597929,0.000300823681754991,-0.00789559725672007,-0.0162347629666328,-0.677711963653564,0.735105812549591
1429447986.10218,-0.240365447509103,-0.121282611287851,-9.65045756776929,-0.00110058835707605,-0.00302550010383129,0.00130525894928724,-0.00789603684097528,-0.0162303913384676,-0.677708387374878,0.735109210014343
1429447986.10718,-0.36871366806794,-0.153706807693746,-9.94814755192399,-0.00253553013317287,-0.00293059088289738,0.00278547639027238,-0.0079131992533803,-0.0162376798689365,-0.677712380886078,0.735105216503143
1429447986.12218,-0.292768492506631,-0.139560090188542,-9.75962638301849,-0.000370281049981713,-0.00232359417714179,0.000602223677560687,-0.00791535899043083,-0.0162468422204256,-0.677711427211761,0.735105931758881
1429447986.13218,-0.342373321620375,-0.150325458159763,-9.8355604526639,-0.00206905137747526,0.00058323924895376,0.00217872229404747,-0.00791244767606258,-0.0162354968488216,-0.677710056304932,0.735107421875
1429447986.13718,-0.315309227475524,-0.141243220969895,-9.87811715336442,-0.00145611702464521,-0.000912569928914309,0.00315915187820792,-0.00791337341070175,-0.0162388887256384,-0.677704274654388,0.735112607479095
1429447986.15218,-0.263484420757368,-0.102675900432793,-9.69157400653362,-0.00299770967103541,0.00123031588736922,0.00292142317630351,-0.00791491009294987,-0.0162067469209433,-0.677693605422974,0.735123157501221
1429447986.16218,-0.32764863069728,-0.112426127411565,-9.92578023729324,-0.000673222006298602,-0.00154581503011286,0.00242736400105059,-0.00791323836892843,-0.0162130929529667,-0.67769718170166,0.735119700431824
1429447986.16718,-0.201411392676737,-0.0941509409326594,-9.60722223715484,-0.00168435706291348,-0.00166877883020788,0.0022516141179949,-0.00790250021964312,-0.0161930900067091,-0.677679896354675,0.735136270523071
1429447986.18218,-0.341550899321586,-0.144180452598725,-9.9501360953927,8.83216271176934e-05,-0.00320349656976759,0.00095240498194471,-0.00790806114673615,-0.0162169821560383,-0.677686154842377,0.73512989282608
1429447986.19718,-0.383770440489613,-0.179263602548186,-9.91946623184085,-0.00207598553970456,-0.0010618717642501,0.00172771688085049,-0.00791127700358629,-0.0162306446582079,-0.677694141864777,0.73512214422226
1429447986.21218,-0.325278942423873,-0.161588098995481,-9.77168565412462,-0.00112761650234461,-0.0013973870081827,0.00275631179101765,-0.00791960582137108,-0.0162384454160929,-0.677689015865326,0.735126614570618
1429447986.22218,-0.350820649307035,-0.172373477708269,-9.79666870421171,-0.00249810633249581,0.000417767179897055,0.002080560894683,-0.0079230573028326,-0.0162251405417919,-0.677689373493195,0.735126614570618
