gps_time,ax,ay,az,roll_rate,pitch_rate,yaw_rate,roll,pitch,yaw
1429364549.29897,-0.151149643157376,0.203858237839583,-9.68645651738942,0.00177809351589531,0.000281533284578472,0.00269451644271612,-1.98687652535468,0.0180619760143818,-3.12218116793147
1429364549.31897,-0.114840294147516,0.180327377588488,-9.670763858217,-3.38985410053283e-05,0.00129909673705697,0.00151578267104924,-1.98687868829837,0.0179925421772828,-3.12218215725265
1429364549.32897,-0.132356844278844,0.167361659161933,-9.8974052066803,0.00101544242352247,-0.00180963519960642,0.00096020771889016,-1.98687231633047,0.0180016622434609,-3.12219314522839
1429364549.34397,-0.0727033075632527,0.186367936394364,-9.69704922307432,0.000432035361882299,-0.00161018362268806,0.00164546491578221,-1.98684215346959,0.0179946790174581,-3.12219613872823
1429364549.34897,-0.145818940520752,0.162670998861361,-9.82639865656495,0.000869200506713241,-0.00130721752066165,0.000820945424493402,-1.98685008787257,0.0179846733419166,-3.12221118127227
1429364549.35897,-0.127282728485484,0.15004235776891,-9.82300492247343,-0.000189280006452464,-0.00271514663472772,0.00157842203043401,-1.98684431799439,0.0180005927152467,-3.12223028656799
1429364549.37397,-0.185213870988414,0.150893540371303,-9.77000164656043,-0.000711203145328909,-0.00335625931620598,0.00146413512993604,-1.9868697132117,0.0180448668952285,-3.12224077726244
1429364549.37897,-0.150919387198612,0.143288125135191,-9.9220591709435,-0.000694527465384454,-0.00191458174958825,-0.000110719389340375,-1.98691144294749,0.018061613149227,-3.12225838326123
1429364549.38897,-0.151177873738017,0.14899327797424,-9.70447732724845,-0.000246190902544186,0.000936765340156853,0.00110952113755047,-1.98691123352812,0.0180435246658399,-3.1222600794858
1429364549.40897,-0.110335758403037,0.138163384266291,-9.67675520758629,-0.00165664521045983,-0.00120929314289242,0.00165440153796226,-1.98693886050235,0.0180153499506275,-3.12227621075032
1429364549.41897,-0.142297826323053,0.135686600622907,-9.90334278003573,-0.00127619120758027,-0.00249828700907528,0.0013472578721121,-1.98694619999112,0.018025103441275,-3.12227531013672
1429364549.43397,-0.0800578167782165,0.174291202696785,-9.70428911119997,-0.00129841279704124,-0.000233150582062081,0.00213788379915059,-1.98691750870281,0.0179857586884122,-3.12225659104911
1429364549.43897,-0.151188121137395,0.160058660938498,-9.82724738234877,-0.000507246935740113,0.000629442976787686,0.00115827471017838,-1.9869301342949,0.0179648230771249,-3.12226305399864
1429364549.44897,-0.120832547699101,0.151158474917803,-9.81846552547812,-0.000185653319931589,-0.00172654935158789,0.00179971416946501,-1.98692875901979,0.017966399633058,-3.12228856012278
1429364549.46397,-0.194162955918442,0.154625365577079,-9.77692939999699,-0.00107566057704389,-0.0033627396915108,0.0019725919701159,-1.98695324182144,0.0180111071515733,-3.12229353365341
1429364549.46897,-0.163142032172903,0.150904701086134,-9.9135800964117,-0.00112213171087205,-0.00334974052384496,0.00179228384513408,-1.9869506224277,0.018043741385445,-3.12230181338344
1429364549.47897,-0.168329791808035,0.149211596900038,-9.69556103034317,-0.00155362114310265,0.000500905560329556,0.00162150419782847,-1.9869699219353,0.018034730719171,-3.12229800011771
1429364549.49397,-0.179141638402641,0.111156573266629,-9.95262966577411,-0.000494463951326907,0.00232780398800969,0.000732989690732211,-1.98699413283229,0.0180109474672193,-3.12231031173819
1429364549.49897,-0.115859709456284,0.139491975122085,-9.67321300493479,-0.00160500744823366,5.23558446730021e-05,0.00146779778879136,-1.98699244326123,0.0179927697537943,-3.12230911330645
1429364549.50897,-0.156489186687581,0.132476525135757,-9.89791724785566,-0.00182645895984024,-0.00385695276781917,0.000521191512234509,-1.98701225543055,0.0180234496489787,-3.12230539992056
1429364549.52397,-0.098653631779924,0.161632248664461,-9.70515186550915,0.000220959351281635,-0.00297416979447007,0.000530981458723545,-1.98699849999588,0.0180370027024208,-3.12232365043543
1429364549.52897,-0.163937840459403,0.131789063461404,-9.82179846929312,-0.00104631891008466,-0.000113452435471117,0.00102681166026741,-1.98701722515043,0.0180269599081503,-3.12233260764178
1429364549.53897,-0.142469611826539,0.129333651399612,-9.81271266103983,-0.00112191797234118,-0.00123533245641738,0.00202448107302189,-1.98702607353216,0.0180319526222098,-3.12234370953173
1429364549.55397,-0.183111236153357,0.140308068144787,-9.76808616832793,-0.00219620740972459,-0.00250248494558036,0.00338616757653654,-1.98703585582114,0.018066550427676,-3.12232819770665
1429364549.55897,-0.175135928158928,0.146120736478921,-9.91865725354552,-0.00377203617244959,-0.00253503140993416,0.0014656112762168,-1.98705579614657,0.018095962213324,-3.12231519689809
1429364549.56897,-0.159945190626662,0.152602106988011,-9.6926518648982,-0.00187235069461167,-0.000598972954321653,0.00260103982873261,-1.9870612601481,0.0180977691302832,-3.12231063498959
1429364549.58397,-0.185380477993283,0.128145053536398,-9.9543925837934,-0.00209252256900072,0.000270482618361712,0.00262057781219482,-1.9870860857163,0.0180947494470332,-3.12230640271652
