gps_time,x,y,z,vE,vN,vU
1429364521.4,4181977.64467932,860766.264115867,4723077.64786872,-0.00044934914257927,-0.00335069623828013,0.00689973118565267
1429364521.50498,4181977.64171743,860766.26393333,4723077.6452278,0.00418344740097604,0.00421510172421495,-0.0393096873732577
1429364521.60103,4181977.64192104,860766.264040635,4723077.64471358,0.000640521185923869,-0.0050805688031038,-0.00233174075615626
1429364521.6992,4181977.64169238,860766.26335264,4723077.64620528,-0.00627772125652609,0.0126649139972662,0.00867628765251971
1429364521.80142,4181977.64437239,860766.264911842,4723077.64585453,0.00986889856640341,-0.0242138205346057,0.0170278317409508
1429364521.89759,4181977.64409093,860766.264094145,4723077.64708385,-0.00744168756568507,0.0114911689515146,0.00620405959765942
1429364522.0266,4181977.64413606,860766.26514533,4723077.64658826,0.0102050882595418,-0.00521687779008489,-0.00197640521969192
1429364522.26654,4181977.64179347,860766.26461862,4723077.64625896,-0.000436164413953746,0.0156623999824447,-0.0184892660858987
1429364522.27735,4181977.6420203,860766.263908795,4723077.64728234,-0.00740985231663358,0.00624910397610032,0.00814263115586073
1429364522.29948,4181977.64316914,860766.264160475,4723077.64637836,0.00811424540151122,-0.0022005383422907,0.01776029286051
1429364522.40258,4181977.64227273,860766.263483663,4723077.64484009,-0.00482196132457913,-0.00272936832217774,-0.0182118833631391
1429364522.50537,4181977.6416486,860766.26352542,4723077.64328837,0.00166727669933053,-0.00588143966194203,-0.0155850499811134
1429364522.60136,4181977.64208045,860766.263849172,4723077.64495788,0.00230044114199757,0.00752143206439797,0.015684287513811
1429364522.69941,4181977.64247252,860766.263055696,4723077.64505937,-0.00856234307979896,-0.00098902362884125,0.00225614851029906
1429364522.80327,4181977.6405391,860766.263008319,4723077.64411396,0.00343386612485972,0.0078450418931001,-0.0197545438004381
1429364522.89894,4181977.64306301,860766.263848591,4723077.64526077,0.00314188268462403,-0.0119921913790534,0.0261808557434067
1429364523.03286,4181977.64560646,860766.26456259,4723077.6452181,0.00186566056182995,-0.0198923731142309,0.0172884902320143
1429364523.26547,4181977.64194536,860766.263352643,4723077.64616943,-0.00447010225055137,0.0348524993353173,-0.0185086907439051
1429364523.27149,4181977.64134566,860766.263913981,4723077.64494868,0.00670719099097322,-0.00462762649372573,-0.0122519762292094
1429364523.29936,4181977.63996461,860766.263634475,4723077.64534824,-0.00693927035218734,-0.00734385824565429,0.0310667187797055
1429364523.40284,4181977.63983552,860766.264142721,4723077.64586973,0.0052383939072801,0.00366261905064552,0.00370463301239145
1429364523.50553,4181977.63884043,860766.264278006,4723077.64529161,0.00333125277774493,0.00318657434051215,-0.0106292240017946
1429364523.6035,4181977.63851726,860766.26313205,4723077.64602597,-0.0105728181369036,0.00898061035948507,0.00181904715734825
1429364523.704,4181977.63919723,860766.263309918,4723077.6444798,0.000371299808412162,-0.015552675750173,-0.00681543684169921
1429364523.80158,4181977.63877679,860766.262688746,4723077.64575383,-0.00523658207273149,0.0125079630603173,0.00589188555011735
1429364523.90165,4181977.63931424,860766.263207854,4723077.64480496,0.00400100624671047,-0.0110351129152198,-0.00284425064840069
