gps_time,x,y,z,vx,vy,vz
1429364549.29897,4181977.64467932,860766.264115867,4723077.64786872,-0.00335069623828013,-0.00044934914257927,0.00689973118565267
1429364549.40395,4181977.64171743,860766.26393333,4723077.6452278,0.00421510172421495,0.00418344740097604,-0.0393096873732577
1429364549.5,4181977.64192104,860766.264040635,4723077.64471358,-0.0050805688031038,0.000640521185923869,-0.00233174075615626
1429364549.59817,4181977.64169238,860766.26335264,4723077.64620528,0.0126649139972662,-0.00627772125652609,0.00867628765251971
1429364549.70039,4181977.64437239,860766.264911842,4723077.64585453,-0.0242138205346057,0.00986889856640341,0.0170278317409508
1429364549.79656,4181977.64409093,860766.264094145,4723077.64708385,0.0114911689515146,-0.00744168756568507,0.00620405959765942
1429364549.92557,4181977.64413606,860766.26514533,4723077.64658826,-0.00521687779008489,0.0102050882595418,-0.00197640521969192
1429364550.16551,4181977.64179347,860766.26461862,4723077.64625896,0.0156623999824447,-0.000436164413953746,-0.0184892660858987
1429364550.17632,4181977.6420203,860766.263908795,4723077.64728234,0.00624910397610032,-0.00740985231663358,0.00814263115586073
1429364550.19845,4181977.64316914,860766.264160475,4723077.64637836,-0.0022005383422907,0.00811424540151122,0.01776029286051
1429364550.30155,4181977.64227273,860766.263483663,4723077.64484009,-0.00272936832217774,-0.00482196132457913,-0.0182118833631391
1429364550.40434,4181977.6416486,860766.26352542,4723077.64328837,-0.00588143966194203,0.00166727669933053,-0.0155850499811134
1429364550.50033,4181977.64208045,860766.263849172,4723077.64495788,0.00752143206439797,0.00230044114199757,0.015684287513811
1429364550.59838,4181977.64247252,860766.263055696,4723077.64505937,-0.00098902362884125,-0.00856234307979896,0.00225614851029906
1429364550.70224,4181977.6405391,860766.263008319,4723077.64411396,0.0078450418931001,0.00343386612485972,-0.0197545438004381
1429364550.79791,4181977.64306301,860766.263848591,4723077.64526077,-0.0119921913790534,0.00314188268462403,0.0261808557434067
1429364550.93183,4181977.64560646,860766.26456259,4723077.6452181,-0.0198923731142309,0.00186566056182995,0.0172884902320143
1429364551.16444,4181977.64194536,860766.263352643,4723077.64616943,0.0348524993353173,-0.00447010225055137,-0.0185086907439051
1429364551.17046,4181977.64134566,860766.263913981,4723077.64494868,-0.00462762649372573,0.00670719099097322,-0.0122519762292094
1429364551.19833,4181977.63996461,860766.263634475,4723077.64534824,-0.00734385824565429,-0.00693927035218734,0.0310667187797055
1429364551.30181,4181977.63983552,860766.264142721,4723077.64586973,0.00366261905064552,0.0052383939072801,0.00370463301239145
1429364551.4045,4181977.63884043,860766.264278006,4723077.64529161,0.00318657434051215,0.00333125277774493,-0.0106292240017946
1429364551.50247,4181977.63851726,860766.26313205,4723077.64602597,0.00898061035948507,-0.0105728181369036,0.00181904715734825
1429364551.60297,4181977.63919723,860766.263309918,4723077.6444798,-0.015552675750173,0.000371299808412162,-0.00681543684169921
1429364551.70055,4181977.63877679,860766.262688746,4723077.64575383,0.0125079630603173,-0.00523658207273149,0.00589188555011735
1429364551.80062,4181977.63931424,860766.263207854,4723077.64480496,-0.0110351129152198,0.00400100624671047,-0.00284425064840069
1429364551.93257,4181977.63719284,860766.262442766,4723077.64577123,0.0230639684771583,-0.00321695261271834,-0.00772287013220191
1429364552.12721,4181977.63951392,860766.263445581,4723077.64690412,-0.0108508279785734,0.00514286332055907,0.0249687535435973
1429364552.13812,4181977.6387195,860766.263334044,4723077.64592713,-0.00057055455775394,0.000509129742470099,-0.0126157837216093
1429364552.19873,4181977.63989908,860766.263962648,4723077.63962604,0.00280214196442498,0.000556906235165136,-0.0273796454833246
1429364552.30035,4181977.64014483,860766.263612169,4723077.6401167,0.00201299796878132,-0.00392830046211391,0.00477938383240405
1429364552.40741,4181977.64292653,860766.264585046,4723077.64190431,-0.00978848182295902,0.003920997408788,0.0328228776588468
1429364552.49974,4181977.64272184,860766.264896505,4723077.64099243,-0.00506800521248822,0.0034633210059853,-0.0077048337142033
1429364552.59846,4181977.64206685,860766.264153443,4723077.6414052,0.0086459278593446,-0.00595759958819325,-0.00221562149231317
1429364552.7007,4181977.64292704,860766.26356698,4723077.64285509,0.00429787146315467,-0.00747845173562691,0.0156091684804892
1429364552.79812,4181977.6418783,860766.264418087,4723077.64126087,-0.00428506124895684,0.0104507078213651,-0.0175429066769638
1429364552.93507,4181977.64112797,860766.263690648,4723077.64187057,0.0106330020756833,-0.00561236524325467,-0.001371070838156
1429364553.15313,4181977.63969759,860766.263663663,4723077.64064527,0.00227846014841962,0.00261942461344067,-0.0185232189590357
1429364553.16222,4181977.64017681,860766.263048915,4723077.64144194,0.00275237403422608,-0.00698744549912252,0.00823372032339554
1429364553.19883,4181977.63874878,860766.263286806,4723077.64290888,-0.0028541777817109,0.00524921844051659,-0.016188616459098
1429364553.3001,4181977.64191033,860766.26420629,4723077.64449796,-0.0138031004157119,0.00263223489921972,0.033750724516145
1429364553.40569,4181977.63890884,860766.263251322,4723077.64271299,0.0113811049448066,-0.00330247098101684,-0.0342087600626128
1429364553.50048,4181977.63797729,860766.263763725,4723077.64124545,-0.00378470351649079,0.00689690735228564,-0.0163096596865582
1429364553.59817,4181977.63976692,860766.26389737,4723077.64465638,0.00954623196326953,-0.00229897556422194,0.0372549724044109
1429364553.69975,4181977.63825487,860766.263524227,4723077.64248695,-0.00291517701120623,-0.000606459188310285,-0.0265272218845614
1429364553.79878,4181977.6384778,860766.262971921,4723077.64341326,0.00539269300721072,-0.00585914067001191,0.00759515330368787
1429364554.11738,4181977.63933471,860766.263856972,4723077.6434604,-0.00725760612531515,0.0069412779266953,0.0071502562198505
1429364554.1245,4181977.63903117,860766.263981164,4723077.64322106,0.000426744105447536,0.00182836990307911,-0.00360149402982539
1429364554.13736,4181977.63946557,860766.264097051,4723077.6446958,0.00651339564761123,0.000259305609992458,0.013973574986471
1429364554.19937,4181977.64316508,860766.264868932,4723077.64571651,-0.0129790048305366,0.00554576003847761,0.0100300650662323
1429364554.30109,4181977.64265078,860766.264503582,4723077.64428492,-0.00526859312564736,-0.00254164023589309,-0.0145092620670163
1429364554.40778,4181977.64174711,860766.264659441,4723077.64441547,0.00722426095961075,0.00334845039334319,-0.00473207710719843
1429364554.50082,4181977.64114084,860766.264971162,4723077.64414331,0.00213243199845514,0.00427549778686463,-0.00558151432921971
1429364554.59846,4181977.64149882,860766.265233198,4723077.64544555,0.00569859169395484,0.00184487915753339,0.0123938484281395
1429364554.7015,4181977.64255997,860766.264067963,4723077.64427031,-0.0138376354677304,-0.0135525242269629,-0.00337012167471262
1429364554.79842,4181977.64218491,860766.265089054,4723077.64461517,0.00350585534389178,0.0107574694216477,0.00147256840617352
1429364554.92265,4181977.64174211,860766.26482622,4723077.64536384,0.00862325245650329,-0.00168169245518827,0.00233355588716893
1429364555.10803,4181977.64167408,860766.264467148,4723077.64418871,-0.00681688341050994,-0.00337985244302392,-0.00967276827381359
1429364555.11431,4181977.64251634,860766.264603739,4723077.64157051,-0.00296493505208241,0.00721396139775576,0.00556799065365135
1429364555.19801,4181977.64230706,860766.265246815,4723077.64130286,-0.00122770142786141,0.00672068255515018,-0.00248935418240888
1429364555.29879,4181977.64137266,860766.264268169,4723077.64097967,0.00611845886081536,-0.00770177449396572,-0.00984263030295189
