gps_time,x,y,z,clock_bias_m,num_sats,lat_deg,lon_deg,h_m
1429364549.3,4182011.740163862,860811.3663921945,4722945.361713794,-69.04250073311141,4,48.07683035610232,11.631122917926513,479.82247895512927
1429364549.4,4182021.7041837536,860816.608514904,4722928.20371447,-12.2724913812758,4,48.07665489225125,11.631164861339453,474.2829675057388
1429364549.5,4182017.594875478,860795.3501448677,4723011.002544339,86.19799466225531,4,48.07720798419349,11.630896566497324,530.3361147748278
1429364549.6,4181979.8007125696,860710.5333492348,4723322.084424909,304.4317993048677,4,48.079439083045045,11.629883999094027,725.6429776665836
1429364549.7,4181983.888044559,860712.4409613934,4723317.264816076,335.3708478057564,4,48.07938076755345,11.62989801545713,724.9884490990933
1429364549.8,4181986.0966230994,860725.3983333743,4723270.903130381,293.78010260381404,4,48.079070280111324,11.630062350443623,693.6825415073321
1429364549.9,4181968.8974218387,860693.1599896174,4723388.182548921,360.28946216338744,4,48.07993107728944,11.629685140801016,765.3501785378687
1429364550.2,4181958.4639734044,860652.4369308429,4723547.976684891,509.0685839120411,4,48.08101436633598,11.629178102058134,871.9387509792311
1429364550.3,4181962.4239106365,860656.362083821,4723534.287825042,517.9225626393435,4,48.08090088383719,11.629218982393075,864.872860442602
1429364550.4,4181958.429252813,860675.3397030468,4723457.892990143,404.58039068249946,4,48.08044251772143,11.62947922973456,807.9702908697863
1429364550.5,4181981.860782769,860723.3310279205,4723282.351762631,305.22708440090497,4,48.07916961117289,11.630046637029988,699.1507901200421
1429364550.6,4181980.81791679,860716.3009058224,4723312.010087602,327.8147794408693,4,48.07936411200317,11.629957055325402,719.5893792124259
1429364550.7,4181963.6706465273,860685.0098023972,4723426.8676609155,377.7300419197846,4,48.08020873430525,11.629592154484405,789.6170456841127
1429364550.8,4181984.3945779647,860737.821068859,4723231.726789788,248.20713392620354,4,48.07882930877218,11.630230237173503,665.092117619013
1429364550.9,4181994.827314316,860755.464265427,4723169.501675129,219.54126629908055,4,48.07836328803983,11.63043391219679,627.9962265288502
1429364551.0,4181986.909775129,860744.9546466556,4723203.387940188,232.92070631520707,4,48.078632943072755,11.630317195283652,646.6129411406181
1429364551.2,4182019.152591651,860809.6636501959,4722972.0048838,87.53628588210526,4,48.076944156823345,11.631080483831479,504.2675472128114
1429364551.3,4182017.3589873193,860827.3833809708,4722902.045625719,-23.62922726739753,4,48.07651166479405,11.631318237813138,453.42819343377255
1429364551.4,4182027.2589845294,860845.1925218708,4722837.705972841,-61.38447333058856,4,48.0760361751778,11.631525529362536,414.43502408417146
1429364551.5,4181990.406197712,860780.5976310052,4723063.837741333,1.3594697493762313,8,48.077723516055,11.630776219754944,549.8685065657753
1429364551.6,4181991.432499334,860780.0822366972,4723065.221603361,2.4216290066613997,8,48.077725799814345,11.630766669003906,551.5003653809233
1429364551.7,4181992.7847692952,860780.1527864463,4723066.303480917,3.444746533593865,8,48.07772334250606,11.630763937888585,553.1997712372608
1429364551.8,4181993.0325252744,860780.0143595579,4723066.695885791,5.203727223504164,8,48.07772426318285,11.63076144816736,553.6352276318769
1429364551.9,4181992.259982809,860780.373725552,4723066.208166311,4.5996019147871765,8,48.07772591106396,11.630768261602311,552.8151897626368
1429364552.0,4181992.088393941,860780.3180281376,4723066.461460397,3.880435794767916,8,48.077728632571734,11.630767993742749,552.8838631510829
1429364552.2,4181991.3384548603,860780.7646125548,4723066.5448251385,2.4396444094291905,8,48.07773344586035,11.630775892406279,552.5152813625217
1429364552.3,4181990.507424819,860780.392977565,4723066.205086795,1.4099565731871428,8,48.07773735222569,11.630773255983145,551.6686118421743
1429364552.4,4181990.6942287004,860780.067566104,4723066.31490822,1.6501710311288884,8,48.07773722677004,11.63076847348035,551.8287381417148
1429364552.5,4181993.5198470606,860780.0354157275,4723068.772700989,4.655208833861191,8,48.07773351898682,11.63076040653475,555.5022271311806
1429364552.6,4181992.515632143,860780.0834465944,4723068.702355686,3.4602518212717266,8,48.077739612807754,11.630763754621213,554.7991945932276
1429364552.7,4181991.6434324025,860780.4436949515,4723068.341126453,2.3899516339776037,8,48.07774267259753,11.630770849265758,554.0081749285562
1429364552.8,4181990.7405749606,860780.8251491496,4723066.89051044,1.2015042838877044,7,48.0777393594394,11.630778305577985,552.3893886934944
1429364552.9,3774187.633467654,-0.021151806944838196,4761073.494423676,-175836.95530396994,7,51.79161785278304,-3.211046680001049e-07,-289427.11357098643
1429364553.0,4181990.314933087,860781.0154115251,4723067.490069117,1.4191212483651412,7,48.07774549456439,11.630781957863617,552.5825777703603
1429364553.2,4181992.177570952,860780.7487985009,4723069.943023234,4.360305494816499,7,48.07774838500652,11.63077341442105,555.5907077521493
1429364553.3,4181990.514800442,860781.1179753504,4723068.991775673,3.6352714426970003,7,48.07775306891694,11.630782765218886,553.8445345022801
1429364553.4,4181988.9298692625,860781.1713615669,4723068.207210547,2.3370541772228046,7,48.07775867014325,11.630787754763643,552.2307843127261
1429364553.5,4181990.73597038,860780.6591508675,4723070.70735773,4.477260488739897,7,48.077762545942846,11.63077613619533,555.203949594982
1429364553.6,4181988.630918101,860781.0826204228,4723069.072508016,2.7580874300258342,7,48.077765947954205,11.630787397150256,552.6670232828695
1429364553.7,4181989.483805757,860780.8306951823,4723069.620429427,3.747526021151852,7,48.07776399028999,11.630781778516884,553.5989042652076
1429364553.8,4181985.4427772816,860781.3829570458,4723065.713127622,-0.4014245523863938,7,48.07776625290534,11.630799969863451,548.1215942824679
