gps_time,x,y,z,clock_bias_m,num_sats,lat_deg,lon_deg,h_m
1429364549.3,4181999.997888363,860783.5698221826,4723046.582076381,0.14458357037083758,5,48.077552970372274,11.630789336267446,543.7066032624267
1429364549.4,4182019.6046199487,860811.6531566806,4722946.244025226,0.05552890363512919,5,48.07678372995841,11.631105410235005,485.6641951421116
1429364549.5,4182032.182905876,860829.9654846652,4722884.921050145,0.046608238016461856,5,48.076308139254735,11.631312070128024,450.735759649049
1429364549.6,4182031.351828388,860832.8167489545,4722876.69017368,-0.06009395129060824,5,48.07626028440737,11.631351794376156,444.4519079550716
1429364549.7,4182040.722919708,860847.1997583129,4722826.441876651,-0.1664930109701559,5,48.0758775494948,11.631515484639456,415.1357020156708
1429364549.8,4182035.844230367,860843.3945351559,4722841.112912703,-0.04293349650704553,5,48.07600280726296,11.631478669911662,422.34607713553373
1429364549.9,4182029.9230013997,860837.8823111878,4722861.044105503,-0.07908368621941975,5,48.076168805570134,11.631422239608128,432.5580096362239
1429364550.2,4182044.6429732586,860856.8439770686,4722803.39432722,0.04186552951103906,5,48.07570036599483,11.631631637733603,401.8522112031534
1429364550.3,4182050.123721825,860864.3434742959,4722776.683410114,-0.0002814975228169203,5,48.07549383501902,11.631715378873553,386.57559537668976
1429364550.4,4182027.00405346,860837.8805054228,4722865.830774372,-0.15444200627140603,5,48.07621669831084,11.631430113090723,434.2089888492773
1429364550.5,4182033.579256869,860845.9334854312,4722835.7541596545,-0.0724963996259902,5,48.0759820275975,11.631518168628872,417.218761971114
1429364550.6,4182036.3580969465,860847.9654491122,4722832.393811329,-0.057251004134104604,5,48.07594088428493,11.631537357618527,416.8108218500585
1429364550.7,4182027.635966944,860836.6796622252,4722874.358247667,0.02152770449409047,5,48.0762654142212,11.631412620077441,440.80549851552354
1429364550.8,4182026.409873823,860837.4613633386,4722868.741376169,0.05718169304830667,5,48.076238646090836,11.631426211619962,435.92927155747583
1429364550.9,4182032.0200379095,860843.6298359734,4722848.325085812,-0.019159601621851152,5,48.076070886565795,11.631492108991973,425.24122272940735
1429364551.0,4182026.346726015,860838.4639844217,4722862.731310985,0.03864709660205534,5,48.076201595918384,11.63143956049241,431.55131222991395
1429364551.2,4182034.0223995876,860844.8621013111,4722843.7910803035,-0.10214126621108477,5,48.07602885887779,11.631502887913967,423.34416450363926
1429364551.3,4182013.3276435207,860817.8616240157,4722936.723369711,0.06978178266486168,5,48.07675928790176,11.631203994090948,475.3089929784052
1429364551.4,4182016.836251033,860820.516550442,4722927.594962834,0.05863826054870641,5,48.07667786525735,11.631229397054776,471.1708065311361
1429364551.5,4181984.703780129,860781.2218149467,4723058.870738338,-5.072117238589128,10,48.077730202861886,11.630799851126234,542.525192758128
1429364551.6,4181986.225782555,860780.8065781104,4723060.20256374,-3.754239826886409,10,48.07772879022191,11.630790275740637,544.456212525681
1429364551.7,4181987.497616791,860780.7202009845,4723061.733565312,-2.4956936993477554,10,48.07772977017693,11.630785699615565,546.4160150248642
1429364551.8,4181987.742113667,860781.1813879415,4723060.245914048,-1.9189299981743047,10,48.07771860758626,11.630791099886594,545.5312450813149
1429364551.9,4181989.0379759124,860781.4810845348,4723061.037710527,-0.5171308032087387,10,48.077714467978836,11.630791533215742,547.0087674029959
1429364552.0,4181989.668924875,860781.2280217777,4723062.333229192,-0.12989088302115492,10,48.07771845808728,11.63078650006073,548.3515089254352
1429364552.2,4181994.107726689,860781.5901297973,4723065.422515822,3.34349029078347,10,48.07770744041415,11.63077925085545,553.6036400909247
1429364552.3,4181994.2356600906,860781.0225442334,4723066.2032751385,3.575055075439606,10,48.0777120585891,11.630771444550593,554.1918338761694
1429364552.4,4181994.4598764423,860780.6779274605,4723066.393234799,3.8874924147080274,10,48.07771219534046,11.630766308407598,554.4334831528427
1429364552.5,4181995.371553585,860780.8371188137,4723067.240873858,4.769626203392333,10,48.07771109859538,11.630765934345833,555.6822176675604
1429364552.6,4181996.081643912,860780.76455866,4723068.45413895,5.3765096421166785,10,48.0777138323517,11.630763059572448,557.0398617236469
1429364552.7,4181996.2517446065,860780.8834794136,4723069.399457746,5.733095336423268,10,48.07771823682859,11.63076416244874,557.8705604711479
1429364552.8,4181995.6338028815,860781.0197802845,4723068.962950079,5.236884069989018,10,48.077719480102786,11.630767625716508,557.1597521176204
1429364552.9,4181995.297397676,860780.9690990803,4723069.255886482,5.1811497033102345,10,48.07772351316738,11.630767869679339,557.1507406941591
1429364553.0,4181994.087045882,860781.1102620146,4723069.233698565,4.652090374002438,10,48.07773112164159,11.63077299954807,556.3611875154843
1429364553.2,4181992.188956714,860781.168865273,4723068.679694304,3.5224713246140995,10,48.07774015340447,11.630778904868711,554.7147574415055
1429364553.3,4181991.6489048055,860781.8113214115,4723067.52188661,3.2577956845401816,10,48.07773586972674,11.630788810195952,553.5864129630926
1429364553.4,4181990.688263584,860781.852111638,4723067.115968491,2.5499658128355325,10,48.07773967155843,11.63079194523722,552.6612363753958
1429364553.5,4181989.409852045,860781.5695707807,4723067.178859346,1.466932209402497,10,48.077748808800266,11.6307916901882,551.8333767734581
1429364553.6,4181988.0146385934,860781.7625902237,4723066.786781124,0.7751682389603989,10,48.07775533647081,11.630798001782155,550.6546172370313
1429364553.7,4181988.890197126,860781.6422728022,4723066.880873515,1.5541182656920576,10,48.077750326000825,11.630794051633464,551.2813887065901
1429364553.8,4181988.165891649,860781.7873997834,4723066.169324688,1.149561469835843,10,48.07775060193829,11.630797918674565,550.2975196350334
