1429365600.00000,6.6666667088,0.2000000013
1429365600.10000,6.6709771981,0.4001293172
1429365600.20000,6.6838177668,0.6006438502
1429365600.30000,6.7051709867,0.8017989798
1429365600.40000,6.7348392781,1.0038441582
1429365600.50000,6.7726872239,1.2070247749
1429365600.60000,6.8184854632,1.4115793388
1429365600.70000,6.8719135121,1.6177367441
1429365600.80000,6.9327276128,1.8257185725
1429365600.90000,7.0005204428,2.0357341858
1429365601.00000,7.0749730700,2.2479833779
1429365601.10000,7.1556958594,2.4626542537
1429365601.20000,7.2422300065,2.6799211539
1429365601.30000,7.3342254430,2.8999479172
1429365601.40000,7.4311850975,3.1228834701
1429365601.50000,7.5327311154,3.3488654036
1429365601.60000,7.6384335768,3.5780184109
1429365601.70000,7.7478094425,3.8104526941
1429365601.80000,7.8605101312,4.0462679981
1429365601.90000,7.9760456832,4.2855493686
1429365602.00000,8.0940671263,4.5283713824
1429365602.10000,8.2141805358,4.7747967984
1429365602.20000,8.3359436096,5.0248751067
1429365602.30000,8.4590650931,5.2786470595
1429365602.40000,8.5831064394,5.5361402527
1429365602.50000,8.7077840641,5.7973737746
1429365602.60000,8.8327679891,6.0623568143
1429365602.70000,8.9576767547,6.3310871169
1429365602.80000,9.0822912473,6.6035558544
1429365602.90000,9.2062335307,6.8797428603
1429365603.00000,9.3292902423,7.1596215675
1429365603.10000,9.4511962523,7.4431574551
1429365603.20000,9.5716294529,7.7303063387
1429365603.30000,9.6904387640,8.0210195016
1429365603.40000,9.8073009947,8.3152385315
1429365603.50000,9.9220657484,8.6129005039
1429365603.60000,10.0345249130,8.9139362513
1429365603.70000,10.1444072515,9.2182684688
1429365603.80000,10.2516204061,9.5258170810
1429365603.90000,10.3558872595,9.8364936988
1429365604.00000,10.4571111855,10.1502070344
1429365604.10000,10.5551319472,10.4668609928
1429365604.20000,10.6497210589,10.7863526246
1429365604.30000,10.7408359983,11.1085777045
1429365604.40000,10.8282384201,11.4334248571
1429365604.50000,10.9118774195,11.7607811797
1429365604.60000,10.9916335122,12.0905301851
1429365604.70000,11.0673149921,12.4225496348
1429365604.80000,11.1389220445,12.7567172962
1429365604.90000,11.2062502624,13.0929048040
1429365605.00000,11.2692883616,13.4309834549
1429365605.10000,11.3279526699,13.7708220350
1429365605.20000,11.3820844473,14.1122845684
1429365605.30000,11.4317213604,14.4552362092
1429365605.40000,11.4766902208,14.7995369158
1429365605.50000,11.5170151015,15.1450473689
1429365605.60000,11.5526449645,15.4916267178
1429365605.70000,11.5834519856,15.8391302774
1429365605.80000,11.6095077511,16.1874155099
1429365605.90000,11.6306690483,16.5363355814
1429365606.00000,11.6469924839,16.8857453559
1429365606.10000,11.6584579171,17.2354990934
1429365606.20000,11.6649677360,17.5854481255
1429365606.30000,11.6666250450,17.9354468768
1429365606.40000,11.6633166390,18.2853463760
1429365606.50000,11.6551299558,18.6350002747
1429365606.60000,11.6420751179,18.9842625282
1429365606.70000,11.6240851116,19.3329850816
1429365606.80000,11.6012931427,19.6810238758
1429365606.90000,11.5736170657,20.0282323878
1429365607.00000,11.5411745354,20.3744676239
1429365607.10000,11.5040060673,20.7195878059
1429365607.20000,11.4620767938,21.0634501097
1429365607.30000,11.4155495433,21.4059165960
1429365607.40000,11.3643753920,21.7468478578
1429365607.50000,11.3087023345,22.0861089278
1429365607.60000,11.2486028253,22.4235670126
1429365607.70000,11.1840765132,22.7590893080
1429365607.80000,11.1153165204,23.0925488036
1429365607.90000,11.0423103380,23.4238181137
1429365608.00000,10.9652379877,23.7527752533
1429365608.10000,10.8842063925,24.0793014451
1429365608.20000,10.7992534071,24.4032790473
1429365608.30000,10.7106048317,24.7245971923
1429365608.40000,10.6182891219,25.0431458659
1429365608.50000,10.5225212783,25.3588215043
1429365608.60000,10.4234473719,25.6715249254
1429365608.70000,10.3211486216,25.9811593841
1429365608.80000,10.2158876930,26.2876360149
1429365608.90000,10.1077404093,26.5908682272
1429365609.00000,9.9969621316,26.8907770911
1429365609.10000,9.8837442454,27.1872894185
1429365609.20000,9.7682189005,27.4803359855
1429365609.30000,9.6506920880,27.7698567481
1429365609.40000,9.5312952391,28.0557956053
1429365609.50000,9.4103318143,28.3381055597
1429365609.60000,9.2880469549,28.6167469684
1429365609.70000,9.1646326673,28.8916859484
1429365609.80000,9.0404468727,29.1628993546
1429365609.90000,8.9156861697,29.4303699397
1429365610.00000,8.7907107235,29.6940912614
1429365610.10000,8.6658281211,29.9540661050
1429365610.20000,8.5412995174,30.2103050905
1429365610.30000,8.4175416551,30.4628313402
1429365610.40000,8.2948234051,30.7116760423
1429365610.50000,8.1735667378,30.9568830445
1429365610.60000,8.0541455417,31.1985074107
1429365610.70000,7.9368899356,31.4366141088
1429365610.80000,7.8222743066,31.6712823380
1429365610.90000,7.7106329363,31.9026013261
1429365611.00000,7.6024390104,32.1306744964
1429365611.10000,7.4981163682,32.3556179874
1429365611.20000,7.3980407959,32.5775592113
1429365611.30000,7.3027141606,32.7966406361
1429365611.40000,7.2124966505,33.0130155356
1429365611.50000,7.1278649730,33.2268514848
1429365611.60000,7.0492342094,33.4383285111
1429365611.70000,6.9769562051,33.6476371973
1429365611.80000,6.9114815063,33.8549816425
1429365611.90000,6.8531037306,34.0605747544
1429365612.00000,6.8022035189,34.2646408599
1429365612.10000,6.7590774151,34.4674131824
1429365612.20000,6.7239354183,34.6691312449
1429365612.30000,6.6970561121,34.8700429283
1429365612.40000,6.6785426192,35.0703992069
1429365612.50000,6.6685590608,35.2704559787
1429365612.60000,6.6671685235,35.4704710344
