gps_time,roll,pitch,yaw
1429448303.89643,0,-3.400238,12.49972
1429448303.99861,0,-3.44519,12.50578
1429448304.122,0,-3.372284,12.44437
1429448304.28003,0,-3.422516,12.52539
1429448304.30744,0,-3.449554,12.47704
1429448304.39663,0,-3.409271,12.48302
1429448304.49723,0,-3.312988,12.40301
1429448304.59995,0,-3.217407,12.44973
1429448304.69859,0,-3.310822,12.44053
1429448304.79718,0,-3.317688,12.43525
1429448304.89576,0,-3.13443,12.47098
1429448304.99519,0,-3.239716,12.45921
1429448305.1204,0,-3.252594,12.44956
1429448305.27916,0,-3.288147,12.4178
1429448305.30636,0,-3.30426,12.41409
1429448305.39545,0,-3.228973,12.42641
1429448305.49701,0,-3.350464,12.4076
1429448305.60007,0,-3.238159,12.4542
1429448305.69793,0,-3.389496,12.40941
1429448305.79471,0,-3.31131,12.42312
1429448305.90143,0,-3.32959,12.44597
1429448305.99714,0,-3.318237,12.42722
1429448306.11554,0,-3.387573,12.41736
1429448306.32314,0,-3.297821,12.44503
1429448306.33237,0,-3.257721,12.4656
1429448306.40235,0,-3.310822,12.40519
1429448306.4969,0,-3.406036,12.4307
1429448306.60115,0,-3.459564,12.37254
1429448306.69808,0,-3.273468,12.43195
1429448306.79798,0,-3.390472,12.41765
1429448306.89501,0,-3.372742,12.38372
1429448306.99689,0,-3.293732,12.3927
1429448307.11716,0,-3.269592,12.39576
1429448307.32981,0,-3.276001,12.44434
1429448307.34188,0,-3.288574,12.42577
1429448307.4025,0,-3.409454,12.39754
1429448307.49561,0,-3.476929,12.46117
1429448307.60054,0,-3.467651,12.48434
1429448307.69931,0,-3.373016,12.47558
1429448307.79536,0,-3.30545,12.51757
1429448307.89779,0,-3.455109,12.491
1429448307.99748,0,-3.435852,12.47985
1429448308.11773,0,-3.292755,12.50618
1429448308.30022,0,-3.31897,12.51143
1429448308.31017,0,-3.414215,12.48063
1429448308.40298,0,-3.309906,12.50383
1429448308.49851,0,-3.31955,12.42306
1429448308.60148,0,-3.086914,12.49164
