gps_time,x,y,z,vx,vy,vz
1429448307.32957,4181983.99956456,860765.866103912,4723072.16248586,0.0055729939452784,-0.0016221953135402,-0.0055281032524485
1429448307.33767,4181983.99958753,860765.866983744,4723072.16302201,0.0020950001148444,0.0085714113517842,0.0053159183704519
1429448307.39805,4181984.00182958,860765.865735216,4723072.16307337,-0.0033151655051172,-0.0047736503214045,-0.0036129946769955
1429448307.49571,4181984.00182174,860765.865735973,4723072.16351349,0.0029966363013386,2.32251914781447e-05,0.0032122408068701
1429448307.59731,4181984.0020728,860765.866339304,4723072.16301449,-0.0060686706395201,0.0054033087001896,-0.0012448367130294
1429448307.69667,4181984.00436796,860765.867195883,4723072.1651699,-0.0036108803360492,0.0037627757381599,0.0322257233856619
1429448307.79354,4181984.00132715,860765.866489158,4723072.16391572,0.0148415452598887,-0.0007917272766845,-0.0301974732786925
1429448307.89493,4181984.00133209,860765.866616288,4723072.16360947,-0.002272843657295,0.0012352608215427,-0.002065983456412
1429448307.99313,4181984.00250341,860765.866909618,4723072.16425125,-0.0046884785215716,0.0005116214161247,0.0128259779625046
1429448308.1174,4181984.00221592,860765.867270834,4723072.16364694,-0.0024842504401045,0.0041176215119359,-0.005880825410236
1429448308.30109,4181984.00082646,860765.866693309,4723072.1621675,0.0011079822786235,-0.0028554701659763,-0.0208931835268092
1429448308.30746,4181983.9973514,860765.868345721,4723072.16048032,0.0036190619140973,0.0062361204235487,0.010760365583739
1429448308.40401,4181983.99636296,860765.867740199,4723072.15875896,-0.0033889634556028,-0.0039381636304274,-0.0200780143731765
1429448308.49471,4181983.99821587,860765.868642942,4723072.1611862,0.0013591365304649,0.0051065305952588,0.0313817332707974
1429448308.59871,4181983.99579038,860765.866729545,4723072.16009771,0.0132742635465276,-0.0138512701961005,-0.026542784381974
1429448308.69667,4181983.9981213,860765.867047673,4723072.16087986,-0.0122387537087218,-0.0015833043960832,0.0215012469766613
1429448308.79498,4181983.99656301,860765.867166927,4723072.16096409,0.0117403516372911,0.0043096771653152,-0.0094097613706977
1429448308.8944,4181983.99714707,860765.866819898,4723072.16036492,-0.007739061573474,-0.0045765548764581,-0.0011037854609209
1429448308.99339,4181983.99652417,860765.867367763,4723072.15873308,-0.0071849718579772,0.0066220090134639,-0.0154800758513807
1429448309.11796,4181983.99651423,860765.866761871,4723072.16043188,0.0123313633062153,-0.0059145256255794,0.0117591334191567
1429448309.30147,4181983.99678662,860765.867150816,4723072.16008952,-0.0048560077576989,0.0032604504696079,-0.0002411963516038
1429448309.30684,4181983.99536235,860765.866877172,4723072.15855011,0.0092436337079806,-0.0090325454561106,-0.0009588732818987
1429448309.39726,4181983.99559643,860765.867310308,4723072.15918254,0.0018697453215005,0.0037705234411145,0.0068152210556562
1429448309.49499,4181983.99826888,860765.868010227,4723072.16146051,-0.0053066405583062,0.0014676834801986,0.0353882725363351
1429448309.60249,4181983.99528279,860765.867505718,4723072.15875801,0.0044628272062237,0.0010786229159463,-0.040346992756969
1429448309.69657,4181983.99609237,860765.867767528,4723072.15896586,-0.0049040443796891,0.0009322082154449,0.0072154698135975
1429448309.79199,4181983.9977256,860765.867042321,4723072.1598744,-0.0047446555672939,-0.0103959108597007,0.0164710178796036
1429448309.89464,4181983.99891255,860765.867727535,4723072.15659946,-0.0315588339316257,0.0043185158576345,-0.0156773005210177
1429448309.99223,4181983.99890283,860765.866458455,4723072.15364862,-0.0177407459918282,-0.0124107122277247,-0.0237286226323891
1429448310.12533,4181984.00033389,860765.865977855,4723072.15472134,-0.0025412956623071,-0.0075924703250906,0.0167099718062252
